timestamp,pos_x,pos_y,heading
4.140000,8.123902,12.370966,0.572497
4.150000,8.154386,12.391685,0.565643
4.160000,8.179697,12.403834,0.558710
4.170000,8.193031,12.418460,0.552853
4.180000,8.225602,12.440323,0.545974
4.190000,8.268059,12.474812,0.539127
4.200000,8.298034,12.489603,0.532068
4.210000,8.344747,12.518624,0.524644
4.220000,8.369545,12.536390,0.518190
4.230000,8.400844,12.552696,0.511188
4.240000,8.436844,12.567637,0.503782
4.250000,8.462218,12.586435,0.497408
4.260000,8.502671,12.595522,0.489364
4.270000,8.543239,12.622962,0.482489
4.280000,8.576528,12.634808,0.475177
4.290000,8.613738,12.649852,0.467815
4.300000,8.655668,12.661173,0.459911
4.310000,8.697189,12.683941,0.452799
4.320000,8.713284,12.697529,0.446871
4.330000,8.752802,12.729456,0.440544
4.340000,8.790685,12.726355,0.432074
4.350000,8.830606,12.737112,0.424399
4.360000,8.857510,12.761362,0.418507
4.370000,8.903056,12.762897,0.409896
4.380000,8.932598,12.790515,0.404101
4.390000,8.966603,12.815272,0.397845
4.400000,8.990721,12.840703,0.392295
4.410000,9.032090,12.864098,0.385520
4.420000,9.072742,12.898504,0.379568
4.430000,9.105859,12.917091,0.373038
4.440000,9.147469,12.926768,0.365389
4.450000,9.213541,12.938474,0.356392
4.460000,9.261547,12.952906,0.348739
4.470000,9.286663,12.969181,0.342638
4.480000,9.315962,12.970169,0.335230
4.490000,9.354735,12.991325,0.328691
4.500000,9.381249,13.025439,0.323818
4.510000,9.418625,13.044977,0.317292
4.520000,9.444427,13.063317,0.311377
4.530000,9.492320,13.068412,0.303259
4.540000,9.517985,13.075519,0.296583
4.550000,9.555331,13.084184,0.289375
4.560000,9.581794,13.107251,0.283842
4.570000,9.615908,13.109093,0.276357
4.580000,9.654615,13.123834,0.269583
4.590000,9.697027,13.125317,0.261660
4.600000,9.723311,13.135279,0.255254
4.610000,9.760291,13.142225,0.248071
4.620000,9.805272,13.173604,0.242302
4.630000,9.828687,13.186467,0.236307
4.640000,9.873567,13.202654,0.229467
4.650000,9.910033,13.213060,0.222650
4.660000,9.959150,13.223343,0.215209
4.670000,9.991433,13.223701,0.207887
4.680000,10.037298,13.236962,0.200894
4.690000,10.065060,13.235291,0.193675
4.700000,10.105125,13.235122,0.185994
4.710000,10.129637,13.238550,0.179353
4.720000,10.170958,13.218068,0.170097
4.730000,10.217475,13.242351,0.164076
4.740000,10.258606,13.255753,0.157489
4.750000,10.289059,13.271617,0.151601
4.760000,10.317330,13.257687,0.143510
4.770000,10.352297,13.277647,0.137784
4.780000,10.403516,13.273313,0.129468
4.790000,10.454724,13.274873,0.121647
4.800000,10.501267,13.294676,0.115492
4.810000,10.540170,13.274549,0.106532
4.820000,10.595642,13.275059,0.098546
4.830000,10.616760,13.298379,0.093804
4.840000,10.633579,13.319127,0.089038
4.850000,10.686727,13.333817,0.082359
4.860000,10.721998,13.324574,0.074494
4.870000,10.744620,13.326511,0.068031
4.880000,10.774128,13.335205,0.061863
4.890000,10.810384,13.342469,0.055344
4.900000,10.853703,13.341575,0.047928
4.910000,10.899347,13.339347,0.040345
4.920000,10.928710,13.317920,0.031810
4.930000,10.964919,13.324112,0.025300
4.940000,11.014592,13.310515,0.016735
4.950000,11.055051,13.326536,0.010932
4.960000,11.103339,13.310200,0.002243
4.970000,11.166741,13.321815,-0.004615
4.980000,11.216292,13.324287,-0.011743
