timestamp,pos_x,pos_y
92023,4477401.206078,589585.714824
92125,4477400.916040,589585.607772
92226,4477400.627370,589585.512918
92326,4477400.329028,589585.416992
92428,4477400.033514,589585.316112
92528,4477399.731999,589585.205465
92630,4477399.410257,589585.093024
92731,4477399.088092,589585.000860
92831,4477398.762862,589584.921711
92932,4477398.436545,589584.835110
93033,4477398.115968,589584.755057
93135,4477397.826278,589584.677094
93236,4477397.537932,589584.572227
93336,4477397.231111,589584.491330
93438,4477396.924589,589584.426122
93538,4477396.611609,589584.368710
93640,4477396.301742,589584.311600
93741,4477396.002070,589584.234350
93841,4477395.719591,589584.146631
93942,4477395.431339,589584.058896
94043,4477395.154605,589583.987394
94144,4477394.874518,589583.923312
94246,4477394.597687,589583.862244
94346,4477394.328427,589583.803037
94448,4477394.068039,589583.743044
94548,4477393.804981,589583.682575
94650,4477393.560301,589583.608569
94751,4477393.327656,589583.528991
94851,4477393.084692,589583.468536
94952,4477392.845395,589583.417621
95053,4477392.614445,589583.359143
95154,4477392.398118,589583.298030
95256,4477392.185700,589583.257482
95356,4477391.981414,589583.200636
95458,4477391.780570,589583.153163
95558,4477391.578367,589583.103417
95660,4477391.391068,589583.046707
95761,4477391.196437,589582.998821
95861,4477391.011107,589582.948957
95962,4477390.841128,589582.892379
96063,4477390.658317,589582.858177
96164,4477390.485014,589582.811394
96265,4477390.315712,589582.774231
96366,4477390.160713,589582.735541
96467,4477390.001525,589582.690115
96568,4477389.840171,589582.658456
96670,4477389.681189,589582.620915
96771,4477389.530053,589582.589643
96871,4477389.379228,589582.556501
96972,4477389.227132,589582.528548
97073,4477389.078650,589582.496395
97174,4477388.935293,589582.456463
97276,4477388.786652,589582.429571
97376,4477388.653518,589582.399780
97478,4477388.520147,589582.359389
97578,4477388.380514,589582.333831
97680,4477388.245635,589582.306606
97786,4477387.982917,589582.237396
97881,4477387.857170,589582.212605
97982,4477387.725605,589582.183983
98083,4477387.597829,589582.156587
98184,4477387.473522,589582.122194
98391,4477387.250630,589582.069133
98487,4477387.141287,589582.042026
98588,4477387.031343,589582.020439
98690,4477386.930390,589581.989415
98790,4477386.831079,589581.965750
98891,4477386.742296,589581.949763
98992,4477386.660963,589581.925544
99093,4477386.589649,589581.903580
99194,4477386.516437,589581.889951
99296,4477386.465659,589581.867827
99396,4477386.411039,589581.858556
99498,4477386.369614,589581.848025
99598,4477386.331988,589581.839484
99700,4477386.293802,589581.830525
