timestamp,pos_x,pos_y,acc
88411,4477376.188916,589572.412842,14.100000
88513,4477376.189028,589572.440832,14.100000
88614,4477376.172951,589572.461127,14.100000
88717,4477376.156922,589572.476077,14.100000
88818,4477376.090290,589572.511481,14.100000
88920,4477376.068386,589572.545756,14.100000
89022,4477376.060081,589572.566128,14.100000
89125,4477376.077057,589572.593152,14.100000
89226,4477376.088914,589572.637796,14.100000
89331,4477376.108255,589572.676922,14.100000
89440,4477376.179471,589572.792784,14.100000
89537,4477376.230065,589572.845955,14.100000
89747,4477376.321513,589572.945544,14.100000
89849,4477376.371896,589573.008896,14.100000
89950,4477376.405593,589573.060234,14.100000
90051,4477376.424245,589573.088172,15.200000
90204,4477376.448213,589573.115028,14.100000
90329,4477376.501109,589573.147221,14.100000
90430,4477376.567523,589573.186462,14.100000
90531,4477376.584085,589573.262433,14.100000
90632,4477376.620755,589573.330275,14.100000
90733,4477376.659226,589573.381641,14.100000
90837,4477376.753953,589573.532592,14.100000
90937,4477376.815993,589573.586644,14.100000
91144,4477376.919656,589573.686511,14.100000
91244,4477376.961496,589573.750305,14.100000
91345,4477376.999346,589573.805410,14.100000
91448,4477377.048381,589573.858261,14.100000
91551,4477377.091393,589573.917970,14.100000
91652,4477377.148490,589573.948670,14.100000
91752,4477377.187716,589574.007406,14.100000
91853,4477377.218225,589574.070657,14.100000
91956,4477377.276296,589574.117802,15.600000
92057,4477377.354575,589574.137307,15.600000
92159,4477377.430531,589574.166850,14.900000
92260,4477377.506261,589574.205301,14.900000
92361,4477377.569385,589574.238729,14.800000
92463,4477377.642629,589574.264232,14.700000
92563,4477377.702226,589574.299738,14.600000
92664,4477377.788146,589574.326956,14.400000
92770,4477377.869636,589574.355075,14.200000
92870,4477377.948964,589574.388055,14.200000
92972,4477378.027125,589574.425544,14.300000
93073,4477378.109494,589574.452889,14.100000
93173,4477378.203070,589574.470430,14.100000
93275,4477378.284006,589574.507971,14.100000
93376,4477378.368514,589574.537750,14.100000
93486,4477378.457846,589574.553222,14.100000
93587,4477378.536140,589574.583245,14.200000
93689,4477378.605862,589574.592845,14.900000
93788,4477378.682703,589574.612792,15.200000
93892,4477378.772963,589574.640890,15.200000
93993,4477378.841766,589574.657117,16.000000
94095,4477378.934675,589574.683827,16.100000
94195,4477379.019661,589574.716484,15.900000
94296,4477379.110782,589574.751613,15.800000
94401,4477379.177134,589574.776435,15.900000
94502,4477379.270591,589574.802545,16.600000
94605,4477379.352210,589574.832190,16.500000
